mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	6/8	1	1	c.i{					c	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0	2	3	0.4	0.25	0.5	0.3333333333333333
2	1	3/8	3/8	6/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.375	0.0
3	2	0	0	6/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	2	0.0	0.0	0.375	0.0
3	2	3/8	3/8	6/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	1	2	0.3333333333333333	0.125	0.375	0.25
3	2	5/8	5/8	6/8	1	1	V2					c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1.0	-1.0	0	2	0.0	0.0	0.25	0.0
4	3	0	0	6/8	1	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0.0	-3.0	2	2	0.5	0.25	0.25	0.5
4	3	1/4	1/4	6/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
4	3	3/8	3/8	6/8	1	1	V(4)					c	i		V(4)	V			4				M	1	1	1, 0, 2		1.0	1.0	0	3	0.0	0.0	0.5	0.0
4	3	5/8	5/8	6/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
5	4	0	0	6/8	1	1	i|IAC}					c	i		i	i					IAC	}	m	1	1	0, -3, 1		0.0	0.0	2	6	0.25	0.0	1.0625	0.0
5	4	5/8	5/8	6/8	1	1	III.V6					c	III		V6	V		6					M	1	0	2, -1, -2		-2.0	2.0	0	2	0.0	0.0	0.25	0.0
6	5	0	0	6/8	1	1	I					c	III		I	I							M	1	0	-3, 1, -2		-3.0	-3.0	2	2	0.5	0.0625	0.4375	0.125
6	5	1/4	1/4	6/8	1	1	I6					c	III		I6	I		6					M	1	0	1, -2, -3		-3.0	1.0	0	2	0.0	0.0	0.25	0.0
6	5	3/8	3/8	6/8	1	1	ii65					c	III		ii65	ii		65					mm7	1	0	-4, 0, -3, -1		-1.0	-4.0	0	2	0.0	0.0	0.3125	0.0
6	5	1/2	1/2	6/8	1	1	ii7					c	III		ii7	ii		7					mm7	1	0	-1, -4, 0, -3		-1.0	-1.0	0	2	0.0	0.0	0.1875	0.0
6	5	5/8	5/8	6/8	1	1	V					c	III		V	V							M	1	0	-2, 2, -1		-2.0	-2.0	0	2	0.0	0.0	0.25	0.0
7	6	0	0	6/8	1	1	I|PAC}					c	III		I	I					PAC	}	M	1	0	-3, 1, -2		-3.0	-3.0	2	3	0.4	0.125	0.625	0.16666666666666666
7	6	3/8	3/8	6/8	1	1	V{					c	III		V	V						{	M	1	0	-2, 2, -1		-2.0	-2.0	3	2	0.6	0.375	0.25	0.6
8	7	0	0	6/8	1	1	ii					c	III		ii	ii							m	1	0	-1, -4, 0		-1.0	-1.0	3	2	0.6	0.375	0.375	0.5
8	7	3/8	3/8	6/8	1	1	IV					c	III		IV	IV							M	1	0	-4, 0, -3		-4.0	-4.0	3	2	0.6	0.375	0.375	0.5
9	8	0	0	6/8	1	1	vi6					c	III		vi6	vi		6					m	1	0	-3, 1, 0		0.0	-3.0	2	3	0.4	0.25	0.5	0.3333333333333333
9	8	3/8	3/8	6/8	1	1	V/vi					c	III		V/vi	V				vi			M	1	0	1, 5, 2		1.0	1.0	2	3	0.4	0.25	0.5	0.3333333333333333
10	9	0	0	6/8	1	1	v.i6					c	v		i6	i		6					m	1	1	-2, 2, 1		1.0	-2.0	2	2	0.5	0.25	0.25	0.5
10	9	1/4	1/4	6/8	1	1	i					c	v		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
10	9	3/8	3/8	6/8	1	1	ii%65					c	v		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3.0	0.0	2	3	0.4	0.1875	0.3125	0.375
10	9	5/8	5/8	6/8	1	1	ii%43					c	v		ii%43	ii	%	43					%7	1	1	-3, 1, 3, 0		3.0	-3.0	0	3	0.0	0.0	0.25	0.0
11	10	0	0	6/8	1	1	V					c	v		V	V							M	1	1	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.5	0.0
11	10	1/4	1/4	6/8	1	1	V2					c	v		V2	V		2					Mm7	1	1	0, 2, 6, 3		2.0	0.0	0	2	0.0	0.0	0.25	0.0
11	10	3/8	3/8	6/8	1	1	i6					c	v		i6	i		6					m	1	1	-2, 2, 1		1.0	-2.0	0	2	0.0	0.0	0.5	0.0
11	10	5/8	5/8	6/8	1	1	V43					c	v		V43	V		43					Mm7	1	1	3, 0, 2, 6		2.0	3.0	0	2	0.0	0.0	0.25	0.0
12	11	0	0	6/8	1	1	i					c	v		i	i							m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	0.5	0.0
12	11	1/4	1/4	6/8	1	1	V2					c	v		V2	V		2					Mm7	1	1	0, 2, 6, 3		2.0	0.0	0	2	0.0	0.0	0.25	0.0
12	11	3/8	3/8	6/8	1	1	i6					c	v		i6	i		6					m	1	1	-2, 2, 1		1.0	-2.0	0	2	0.0	0.0	0.5	0.0
12	11	5/8	5/8	6/8	1	1	V43					c	v		V43	V		43					Mm7	1	1	3, 0, 2, 6		2.0	3.0	0	2	0.0	0.0	0.25	0.0
13	12	0	0	6/8	1	1	i					c	v		i	i							m	1	1	1, -2, 2		1.0	1.0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
13	12	3/8	3/8	6/8	1	1	ii%43					c	v		ii%43	ii	%	43					%7	1	1	-3, 1, 3, 0		3.0	-3.0	2	2	0.5	0.25	0.25	0.5
13	12	5/8	5/8	6/8	1	1	ii%65	-0.931093	-4.5	/		c	v		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3.0	0.0	0	2	0.0	0.0	0.25	0.0
14	13	0	0	6/8	1	1	i6	0.2	-4.5	/		c	v		i6	i		6					m	1	1	-2, 2, 1		1.0	-2.0	1	4	0.2	0.125	0.625	0.16666666666666666
14	13	3/8	3/8	6/8	1	1	V(64)					c	v		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	0	2	0.0	0.0	0.4375	0.0
14	13	1/2	1/2	6/8	1	1	V					c	v		V	V							M	1	1	2, 6, 3		2.0	2.0	1	2	0.3333333333333333	0.125	0.1875	0.4
15	14	0	0	6/8	1	1	I|PAC}	0	-6.5	/	1.0	c	v		I	I					PAC	}	M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.75	0.0
16	14	0	0	6/8	1	1	I|PAC}	0	-5.8	/	2.0	c	v		I	I					PAC	}	M	1	1	1, 5, 2		1.0	1.0	1	3	0.25	0.125	0.625	0.16666666666666666
16	14	3/8	3/8	6/8	1	1	iv6{	0	-5.8	/	2.0	c	v		iv6	iv		6				{	m	1	1	-3, 1, 0		0.0	-3.0	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
16	14	5/8	5/8	6/8	1	1	ii%65	0	-6.1	/	2.0	c	v		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3.0	0.0	0	2	0.0	0.0	0.25	0.0
17	15	0	0	6/8	1	1	i					c	v		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
17	15	1/8	1/8	6/8	1	1	VI					c	v		VI	VI							M	1	1	-3, 1, -2		-3.0	-3.0	0	2	0.0	0.0	0.25	0.0
17	15	1/4	1/4	6/8	1	1	i.ii%43					c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2.0	-4.0	0	2	0.0	0.0	0.25	0.0
17	15	3/8	3/8	6/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.5	0.0
17	15	5/8	5/8	6/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
18	16	0	0	6/8	1	1	V6					c	i		V6	V		6					M	1	1	5, 2, 1		1.0	5.0	0	2	0.0	0.0	0.25	0.0
18	16	1/8	1/8	6/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
18	16	1/4	1/4	6/8	1	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	2	0.0	0.0	0.25	0.0
18	16	3/8	3/8	6/8	1	1	V43					c	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	2	0.0	0.0	0.25	0.0
18	16	1/2	1/2	6/8	1	1	i64					c	i		i64	i		64					m	1	1	1, 0, -3		0.0	1.0	0	2	0.0	0.0	0.25	0.0
18	16	5/8	5/8	6/8	1	1	V2					c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1.0	-1.0	0	2	0.0	0.0	0.25	0.0
19	17	0	0	6/8	1	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	2	0.0	0.0	0.25	0.0
19	17	1/8	1/8	6/8	1	1	V43					c	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	2	0.0	0.0	0.25	0.0
19	17	1/4	1/4	6/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
19	17	3/8	3/8	6/8	1	1	V65					c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1.0	5.0	0	2	0.0	0.0	0.25	0.0
19	17	1/2	1/2	6/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	2	3	0.4	0.0	0.5	0.0
20	18	0	0	6/8	1	1	V|HC.SIM}					c	i		V	V					HC.SIM	}	M	1	1	1, 5, 2		1.0	1.0	1	3	0.25	0.125	0.625	0.16666666666666666
20	18	3/8	3/8	6/8	1	1	VII.ii6{					c	VII		ii6	ii		6				{	m	1	0	-3, 1, 0		0.0	-3.0	1	2	0.3333333333333333	0.125	0.375	0.25
20	18	5/8	5/8	6/8	1	1	ii					c	VII		ii	ii							m	1	0	0, -3, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
21	19	0	0	6/8	1	1	V					c	VII		V	V							M	1	0	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	0.5	0.0
21	19	1/4	1/4	6/8	1	1	V2					c	VII		V2	V		2					Mm7	1	0	-3, -1, 3, 0		-1.0	-3.0	0	2	0.0	0.0	0.25	0.0
21	19	3/8	3/8	6/8	1	1	iii					c	VII		iii	iii							m	1	0	2, -1, 3		2.0	2.0	1	4	0.2	0.125	0.625	0.16666666666666666
22	20	0	0	6/8	1	1	vi					c	VII		vi	vi							m	1	0	1, -2, 2		1.0	1.0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
22	20	3/8	3/8	6/8	1	1	ii6					c	VII		ii6	ii		6					m	1	0	-3, 1, 0		0.0	-3.0	1	4	0.2	0.125	0.625	0.16666666666666666
23	21	0	0	6/8	1	1	V					c	VII		V	V							M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.25	0.0
23	21	1/8	1/8	6/8	1	1	V2					c	VII		V2	V		2					Mm7	1	0	-3, -1, 3, 0		-1.0	-3.0	0	2	0.0	0.0	0.25	0.0
23	21	1/4	1/4	6/8	1	1	I6					c	VII		I6	I		6					M	1	0	2, -1, -2		-2.0	2.0	0	2	0.0	0.0	0.3125	0.0
23	21	3/8	3/8	6/8	1	1	IV	0.449643	-3.28688	/		c	VII		IV	IV							M	1	0	-3, 1, -2		-3.0	-3.0	1	1	0.5	0.0625	0.125	0.3333333333333333
23	21	1/2	1/2	6/8	1	1	V					c	VII		V	V							M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.3125	0.0
23	21	5/8	5/8	6/8	1	1	V7					c	VII		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1.0	-1.0	1	1	0.5	0.0625	0.125	0.3333333333333333
24	22	0	0	6/8	1	1	I|PAC}					c	VII		I	I					PAC	}	M	1	0	-2, 2, -1		-2.0	-2.0	1	3	0.25	0.125	0.625	0.16666666666666666
24	22	3/8	3/8	6/8	1	1	v.i{					c	v		i	i						{	m	1	1	1, -2, 2		1.0	1.0	1	2	0.3333333333333333	0.125	0.375	0.25
24	22	5/8	5/8	6/8	1	1	i6					c	v		i6	i		6					m	1	1	-2, 2, 1		1.0	-2.0	0	2	0.0	0.0	0.25	0.0
25	23	0	0	6/8	1	1	iv					c	v		iv	iv							m	1	1	0, -3, 1		0.0	0.0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
25	23	3/8	3/8	6/8	1	1	ii					c	v		ii	ii							m	1	1	3, 0, 4		3.0	3.0	1	4	0.2	0.125	0.625	0.16666666666666666
