mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/2	1	1	F.I{					F	I		I	I						{	M	0	0	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	0.625	0.0
2	1	0	0	2/2	1	1	ii					F	I		ii	ii							m	0	0	1, -2, 2		1.0	1.0	0	3	0.0	0.0	0.5	0.0
2	1	1/2	1/2	2/2	1	1	V					F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	1	3	0.25	0.125	0.375	0.25
3	2	0	0	2/2	1	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	0.625	0.0
3	2	1/2	1/2	2/2	1	1	V(4)					F	I		V(4)	V			4				M	0	0	0, -1, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
3	2	3/4	3/4	2/2	1	1	V					F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
3	2	7/8	7/8	2/2	1	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	0	0	2/2	1	1	vi					F	I		vi	vi							m	0	0	2, -1, 3		2.0	2.0	0	2	0.0	0.0	0.5	0.0
4	3	1/4	1/4	2/2	1	1	IV6					F	I		IV6	IV		6					M	0	0	2, -1, -2		-2.0	2.0	0	2	0.0	0.0	0.375	0.0
4	3	3/8	3/8	2/2	1	1	ii					F	I		ii	ii							m	0	0	1, -2, 2		1.0	1.0	0	1	0.0	0.0	0.125	0.0
4	3	1/2	1/2	2/2	1	1	V6					F	I		V6	V		6					M	0	0	4, 1, 0		0.0	4.0	2	2	0.5	0.25	0.25	0.5
4	3	3/4	3/4	2/2	1	1	V65					F	I		V65	V		65					Mm7	0	0	4, 1, -2, 0		0.0	4.0	0	4	0.0	0.0	0.5	0.0
5	4	0	0	2/2	1	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.25	0.0
5	4	1/8	1/8	2/2	1	1	V6					F	I		V6	V		6					M	0	0	4, 1, 0		0.0	4.0	0	2	0.0	0.0	0.25	0.0
5	4	1/4	1/4	2/2	1	1	IV6					F	I		IV6	IV		6					M	0	0	2, -1, -2		-2.0	2.0	0	2	0.0	0.0	0.25	0.0
5	4	3/8	3/8	2/2	1	1	iii6					F	I		iii6	iii		6					m	0	0	0, 4, 3		3.0	0.0	0	2	0.0	0.0	0.25	0.0
5	4	1/2	1/2	2/2	1	1	ii6					F	I		ii6	ii		6					m	0	0	-2, 2, 1		1.0	-2.0	0	2	0.0	0.0	0.25	0.0
5	4	5/8	5/8	2/2	1	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	0	2	0.0	0.0	0.25	0.0
5	4	3/4	3/4	2/2	1	1	V43					F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0.0	1.0	0	2	0.0	0.0	0.25	0.0
5	4	7/8	7/8	2/2	1	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.25	0.0
