mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	1/2	0.0	1/8	1/8	Tempo	4/4	1	1	0								 = 78	78					
1	1	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	0									
1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	1									
1	1	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	2									
1	1	2	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	3	ornamentShortTrill								
1	1	11/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	4									
1	1	3	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	5									
1	1	13/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	6									
1	1	7/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	7									
1	1	15/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	8									
1	1	3/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6	4		
1	1	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	9									
1	1	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	#6			
1	1	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	10									
1	1	5/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	6			
1	1	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	11									
1	1	3	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	5/			
1	1	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	12									
1	1	7/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	7	#3		
1	1	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	13									
2	2	4	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	14									
2	2	4	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	15	ornamentMordent								
2	2	9/2	0.0	1/8	1/8	StaffText	4/4	1	1	0							)							
2	2	9/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	16									
2	2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	17									
2	2	5	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	18									
2	2	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	19									
2	2	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	20									
2	2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	21									
2	2	7	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	22	ornamentShortTrill								
2	2	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	23									
2	2	4	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	24									
2	2	9/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0										1/8	_			
2	2	9/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	25									
2	2	19/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	26									
2	2	5	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/8	6			
2	2	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	27									
2	2	11/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	h6			
2	2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	28									
2	2	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	b3			
2	2	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	29									
2	2	13/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	6			
2	2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	30									
2	2	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	#6			
2	2	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	31									
