mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	0	0	0	0.0	0	1/4	StaffText	2/4	1	1	0						gracieusement, et légérement.	
1	0	0	0	0.25	0	1/4	Chord	2/4	1	1	1/16		1/16	1	0			0
1	0	1/4	1/4	0.25	1/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1			
1	0	1/2	1/2	0.25	1/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2			1
1	0	3/4	3/4	0.25	3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	3			
1	0	0	0	0.25	0	1/4	Chord	2/4	2	1	1/16		1/16	1	4			2
1	0	1/4	1/4	0.25	1/16	5/16	Chord	2/4	2	1	1/16		1/16	1	5			
1	0	1/2	1/2	0.25	1/8	3/8	Chord	2/4	2	1	1/16		1/16	1	6			3
1	0	3/4	3/4	0.25	3/16	7/16	Chord	2/4	2	1	1/16		1/16	1	7			
2	1	1	1	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	8			
2	1	3/2	3/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	9			
2	1	2	2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	10			4
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	11			
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	12			5
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	13			
2	1	1	1	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	14			
2	1	5/4	5/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	15			
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	16			
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	17			
2	1	2	2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	18			
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	19			
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	20			
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	21			
3	2	3	3	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	22			
3	2	7/2	7/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	23			
3	2	4	4	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	24			6
3	2	17/4	17/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	25			
3	2	9/2	9/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	26			7
3	2	19/4	19/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	27			
3	2	3	3	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	28			
3	2	13/4	13/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	29			
3	2	7/2	7/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	30			
3	2	15/4	15/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	31			
3	2	4	4	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	32			
3	2	17/4	17/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	33			
3	2	9/2	9/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	34			
3	2	19/4	19/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	35			
4	3	5	5	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	36			8
4	3	11/2	11/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	37	ornamentShortTrill		
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	38			
4	3	6	6	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	39			
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	40			
4	3	5	5	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	41			9
4	3	11/2	11/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	42	ornamentShortTrill		
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	43			
4	3	6	6	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	44	ornamentShortTrill		
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	45			
5	4	7	7	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	46	ornamentShortTrill		
5	4	15/2	15/2	0.0	1/8	1/8	Chord	2/4	1	1	0	appoggiatura	1/8	1	47			
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	48			
5	4	8	8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	49			10
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	50			
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	51			11
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	52			
5	4	7	7	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	53			
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	54			
5	4	8	8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	55			
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	56			
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	57			
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	58			
6	5	9	9	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	59			12
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	60	ornamentShortTrill		
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	61			
6	5	10	10	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	62			
6	5	21/2	21/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	63			
6	5	9	9	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	64			13
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	65	ornamentShortTrill		
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	66			
6	5	10	10	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	67			
6	5	21/2	21/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	68			
7	6	11	11	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	69			
7	6	12	12	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	70			
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	71			
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	72			
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	73			
7	6	11	11	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	74	ornamentShortTrill		
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	75			
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	76			
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	77			
7	6	12	12	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	78			
7	6	25/2	25/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	79			
8	7	13	13	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	80			
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	81			
8	7	14	14	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	82	ornamentShortTrill		
