mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	1	0	0.0		0	0	StaffText	3/4	1	1	0							Tendrement	
1	1	0	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	0			
1	1	1	0.0		1/4	1/4	Chord	3/4	1	1	0	grace16		1/16	1	1			
1	1	1	0.0		1/4	1/4	Chord	3/4	1	1	0	grace16		1/16	1	2			
1	1	1	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	3			
1	1	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	4			
1	1	0	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	5			
1	1	1	0.0		1/4	1/4	Chord	3/4	2	1	0	grace16		1/16	1	6			
1	1	1	0.0		1/4	1/4	Chord	3/4	2	1	0	grace16		1/16	1	7			
1	1	1	1.5		1/4	1/4	Chord	3/4	2	1	3/8			1/4	3/2	8			
1	1	5/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	9			
2	2	3	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	10			
2	2	3	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	11	ornamentMordent		
2	2	4	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	12			
2	2	4	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	13			
2	2	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	14			
2	2	3	0.0		0	0	Chord	3/4	2	1	0	appoggiatura		1/8	1	15			
2	2	3	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	16	ornamentMordent		
2	2	4	0.0		1/4	1/4	Chord	3/4	2	1	0	appoggiatura		1/8	1	17			
2	2	4	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	18			
2	2	5	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	19			
3	3	6	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	20			
