mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
4	4	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	42										
4	4	21/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	43										
4	4	11	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	44										3
4	4	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	45	ornamentShortTrill									
4	4	9	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	46										4
4	4	19/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16			1/16	1	47	ornamentShortTrill									
4	4	39/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	48										
4	4	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	49										
4	4	21/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	50										
4	4	43/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	51										
4	4	11	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	52										
4	4	45/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	53										
4	4	23/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	54										
4	4	47/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	55										
4	4	19/2	0.0	1/8	1/8	FiguredBass	6/8	3	1	0										1/4	5_				
4	4	19/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	56										
4	4	39/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	57										
4	4	10	0.25	1/4	1/4	Chord	6/8	3	1	1/16			1/16	1	58										
4	4	41/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16			1/16	1	59										
4	4	21/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										1/4	#6	5_			
4	4	21/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	60										
4	4	43/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	61										
4	4	11	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	62										
4	4	23/2	0.0	5/8	5/8	FiguredBass	6/8	3	1	0										1/8	#3				
4	4	23/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	63										
5	5	12	0.0	0	0	StaffText	6/8	1	1	0							)								
5	5	12	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	64										
5	5	25/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	65										
5	5	51/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	66										
5	5	13	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	67										
5	5	53/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	68										
5	5	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	69										
5	5	14	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	70	ornamentShortTrill									
5	5	12	0.0	0	0	StaffText	6/8	2	1	0							)								
5	5	12	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	71	ornamentShortTrill									
5	5	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	72										
5	5	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	73										
5	5	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	74										5
5	5	14	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	75	ornamentShortTrill									
5	5	57/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	76										
5	5	29/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	77										
5	5	59/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	78										
5	5	12	0.0	0	0	FiguredBass	6/8	3	1	0										1/8	#3				
5	5	12	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	79										
6	6	15	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	80										
6	6	65/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	81										
6	6	33/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	82										
6	6	69/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	83										
6	6	35/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	84										
6	6	71/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	85										
6	6	15	0.25	0	0	Chord	6/8	2	1	1/16			1/16	1	86										
6	6	61/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16			1/16	1	87										
6	6	31/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16			1/16	1	88										
6	6	63/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	89										
6	6	16	0.25	1/4	1/4	Chord	6/8	2	1	1/16			1/16	1	90										
6	6	65/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16			1/16	1	91										
6	6	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	92	ornamentShortTrill									
6	6	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	93										
6	6	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	94										
6	6	31/2	0.0	1/8	1/8	FiguredBass	6/8	3	1	0										1/4	6	4_			
6	6	31/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	95										
6	6	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	96										
6	6	33/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										1/8	5	2	2		
6	6	33/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	97										
6	6	17	0.0	1/2	1/2	FiguredBass	6/8	3	1	0										1/4	6	3_			
6	6	17	0.25	1/2	1/2	Chord	6/8	3	1	1/16			1/16	1	98										
6	6	69/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16			1/16	1	99										
6	6	35/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16			1/16	1	100										
6	6	71/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16			1/16	1	101										
7	7	18	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	102	ornamentShortTrill									
7	7	77/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	103										
7	7	39/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	104										
7	7	79/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	105										
7	7	20	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	106										
7	7	81/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	107										
7	7	41/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	108										
7	7	83/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	109										
7	7	18	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	110										
7	7	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	111										
7	7	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	112										
7	7	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	113										
7	7	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	114										
7	7	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	115										
7	7	18	0.0	0	0	FiguredBass	6/8	3	1	0										1/8	7_				
7	7	18	0.25	0	0	Chord	6/8	3	1	1/16			1/16	1	116										
7	7	73/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16			1/16	1	117										
7	7	37/2	0.0	1/8	1/8	FiguredBass	6/8	3	1	0										1/4	6_				
7	7	37/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	118										
7	7	75/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	119										
7	7	19	0.25	1/4	1/4	Chord	6/8	3	1	1/16			1/16	1	120										
7	7	77/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16			1/16	1	121										
7	7	39/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										1/8	7_				
7	7	39/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	122										
7	7	79/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	123										
7	7	20	0.0	1/2	1/2	FiguredBass	6/8	3	1	0										1/4	6_				
7	7	20	0.25	1/2	1/2	Chord	6/8	3	1	1/16			1/16	1	124										
7	7	81/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16			1/16	1	125										
7	7	41/2	0.25	5/8	5/8	Chord	6/8	3	1	1/16			1/16	1	126										
7	7	83/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16			1/16	1	127										
8	8	21	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	128	ornamentShortTrill									
8	8	43/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	129										
8	8	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	130										
8	8	45/2	0.0	3/8	3/8	Chord	6/8	1	1	0	appoggiatura		1/8	1	131										
8	8	45/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	132										
8	8	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	133										
8	8	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	134										
8	8	21	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	135										
8	8	43/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	136										
8	8	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	137										
8	8	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	138										
8	8	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	139										
8	8	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	140										
8	8	21	0.0	0	0	FiguredBass	6/8	3	1	0										1/8	7				
8	8	21	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	141										
8	8	43/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	142										
8	8	22	0.0	1/4	1/4	FiguredBass	6/8	3	1	0										1/8	5/				
8	8	22	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	143										
8	8	45/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	144										
8	8	91/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	145										
8	8	23	0.0	1/2	1/2	FiguredBass	6/8	3	1	0										1/8	#6				
8	8	23	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	146	ornamentShortTrill									
8	8	47/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	147										
9	9	24	0.0	0	0	StaffText	6/8	1	1	0							)								
9	9	24	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	148	ornamentShortTrill									
9	9	49/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	149										
9	9	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	150										
9	9	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	151										6
9	9	26	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	152	ornamentShortTrill									
9	9	105/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	153										
9	9	53/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	154										
9	9	107/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	155										
9	9	24	0.0	0	0	StaffText	6/8	2	1	0							)								
9	9	24	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	156	ornamentShortTrill									
9	9	49/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	157										
9	9	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	158										
9	9	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	159										7
9	9	26	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	160	ornamentShortTrill									
9	9	105/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	161										
9	9	53/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	162										
9	9	107/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	163										
9	9	24	0.0	0	0	FiguredBass	6/8	3	1	0										3/8	#3_				
9	9	24	0.25	0	0	Chord	6/8	3	1	1/16			1/16	1	164										
9	9	97/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16			1/16	1	165										
9	9	49/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	166										
9	9	99/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	167										
9	9	25	0.0	1/4	1/4	FiguredBass	6/8	3	1	0										1/16	6				
9	9	25	0.25	1/4	1/4	Chord	6/8	3	1	1/16			1/16	1	168										
9	9	101/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16			1/16	1	169										
9	9	51/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										1/8	7_				
9	9	51/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	170										
9	9	103/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	171										
9	9	26	0.0	1/2	1/2	FiguredBass	6/8	3	1	0										1/8	5/				
9	9	26	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	172										
9	9	53/2	0.0	5/8	5/8	FiguredBass	6/8	3	1	0										1/8	7	#3			
9	9	53/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	173										
10	10	27	0.0	0	0	StaffText	6/8	1	1	0							)								
10	10	27	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	174										
10	10	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	175										
10	10	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	176										
10	10	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	177										8
10	10	29	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	178	ornamentShortTrill									
10	10	117/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	179										
10	10	59/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	180										
10	10	119/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	181										
10	10	27	0.0	0	0	StaffText	6/8	2	1	0							)								
10	10	27	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	182										
10	10	55/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	183										
10	10	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	184										
10	10	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	185										9
10	10	29	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	186	ornamentShortTrill									
10	10	117/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	187										
10	10	59/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	188										
10	10	119/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	189										
10	10	27	0.0	0	0	FiguredBass	6/8	3	1	0										1/8	_				
10	10	27	0.25	0	0	Chord	6/8	3	1	1/16			1/16	1	190										
10	10	109/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16			1/16	1	191										
10	10	55/2	0.0	1/8	1/8	FiguredBass	6/8	3	1	0										1/8	5_				
10	10	55/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	192										
10	10	111/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	193										
10	10	28	0.0	1/4	1/4	FiguredBass	6/8	3	1	0										1/16	6				
10	10	28	0.25	1/4	1/4	Chord	6/8	3	1	1/16			1/16	1	194										
10	10	113/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16			1/16	1	195										
10	10	57/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										1/8	7_				
10	10	57/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	196										
10	10	115/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	197										
10	10	29	0.0	1/2	1/2	FiguredBass	6/8	3	1	0										1/8	5/				
10	10	29	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	198										
10	10	59/2	0.0	5/8	5/8	FiguredBass	6/8	3	1	0										1/8	7				
10	10	59/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	199										
11	11	30	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	200										
11	11	123/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	201										
11	11	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	202										
11	11	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	203										
11	11	32	0.75	1/2	1/2	Chord	6/8	1	1	3/16			1/8	3/2	204	ornamentShortTrill									
11	11	131/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	205										
11	11	30	0.75	0	0	Chord	6/8	2	1	3/16			1/8	3/2	206										
11	11	123/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	207										
11	11	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	208										
11	11	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	209										
11	11	32	0.75	1/2	1/2	Chord	6/8	2	1	3/16			1/8	3/2	210	ornamentShortTrill									
11	11	131/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	211										
11	11	30	0.0	0	0	FiguredBass	6/8	3	1	0										1/4	_				
11	11	30	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	212										
11	11	61/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	213										
11	11	123/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	214										
11	11	31	0.0	1/4	1/4	FiguredBass	6/8	3	1	0										1/8	#6				
11	11	31	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	215										
11	11	63/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										3/8	#3_				
11	11	63/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	216										
11	11	32	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	217										
11	11	65/2	0.0	5/8	5/8	FiguredBass	6/8	3	1	0										1/8	7				
11	11	65/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	218										
12	12	33	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	219										
12	12	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	220										
12	12	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	221										
12	12	33	0.0	0	0	StaffText	6/8	2	1	0							)								
12	12	33	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	222	ornamentShortTrill									
12	12	67/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	223										
12	12	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	224										
12	12	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	225										10
12	12	35	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	226	ornamentShortTrill									
12	12	141/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	227										
12	12	71/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	228										
12	12	143/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	229										
12	12	33	0.25	0	0	Chord	6/8	3	1	1/16			1/16	1	230										
12	12	133/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16			1/16	1	231										
12	12	67/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16			1/16	1	232										
12	12	135/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16			1/16	1	233										
12	12	34	0.25	1/4	1/4	Chord	6/8	3	1	1/16			1/16	1	234										
12	12	137/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16			1/16	1	235										
12	12	69/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										1/8	5	4_			
12	12	69/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16			1/16	1	236										
12	12	139/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16			1/16	1	237										
12	12	35	0.0	1/2	1/2	FiguredBass	6/8	3	1	0										1/4	3_				
12	12	35	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	238										
12	12	71/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	239										
13	13	36	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	240										11
13	13	73/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	241	ornamentShortTrill									
13	13	147/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	242										
13	13	37	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	243										
13	13	149/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	244										
13	13	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	245										
13	13	38	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	246										
13	13	36	0.0	0	0	StaffText	6/8	2	1	0							)								
13	13	36	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	247										
13	13	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	248										12
13	13	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	249	ornamentShortTrill									
13	13	38	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	250										
13	13	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	251										
13	13	36	0.0	0	0	FiguredBass	6/8	3	1	0										1/8	5	4			
13	13	36	0.0	0	0	StaffText	6/8	3	1	0							)								
13	13	36	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	252										
13	13	73/2	0.0	1/8	1/8	FiguredBass	6/8	3	1	0										1/4	6	4_			
13	13	73/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	253										
13	13	37	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	254										
13	13	75/2	0.0	3/8	3/8	FiguredBass	6/8	3	1	0										1/8	4+				
13	13	75/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	255										
13	13	38	0.0	1/2	1/2	FiguredBass	6/8	3	1	0										1/4	6_				
13	13	38	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	256										
13	13	77/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	257										
14	14	39	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	258										
14	14	79/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	259										
