mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0.0		0	0	StaffText	3/4	1	1	0							Lentement							
1	1	0	0.0		0	0	Tempo	3/4	1	1	0								 = 90	90					
1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	0									
1	1	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	1									
1	1	0	3.0		0	0	Chord	3/4	2	1	3/4			1/2	3/2	2									
2	2	3	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	3									
2	2	4	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	4	ornamentMordent								
2	2	11/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	5									
3	3	6	0.0		0	0	StaffText	3/4	1	1	0							)							
3	3	6	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	6	ornamentShortTrill								
3	3	7	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	7									
3	3	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	8									
3	3	7	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	6_			
3	3	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	9									
3	3	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	10									
4	4	9	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	11									
4	4	10	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	12	ornamentMordent								
4	4	23/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	13									
4	4	9	0.0		0	0	FiguredBass	3/4	2	1	0										5/8	_			
4	4	9	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	14									
4	4	19/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	15									
4	4	10	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	16									
4	4	21/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	17									
4	4	11	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	18									
4	4	23/2	0.0		5/8	5/8	FiguredBass	3/4	2	1	0										1/8	6	5	b3	
4	4	23/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	19									
5	5	12	0.0		0	0	StaffText	3/4	1	1	0							)							
5	5	12	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	20	ornamentShortTrill								
5	5	13	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	21									
5	5	29/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	22									
5	5	12	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	#3			
5	5	12	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	23									
5	5	13	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	5/_			
5	5	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	24									
5	5	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	25									
6	6	15	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	26									0
6	6	63/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	27									
6	6	16	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	28	ornamentShortTrill								
6	6	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	29									
