mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0.0		0	0	Tempo	3/4	1	1	0								𝅘𝅥 = 80	80					
1	1	0	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	0									
1	1	1	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	1									
1	1	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	2									
1	1	0	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	3									
1	1	1/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	4									
1	1	1	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	5									
1	1	3/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	6									
1	1	2	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	7									
1	1	5/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	8									
2	2	3	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	9									
2	2	3	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	10									
2	2	4	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	11									
2	2	11/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	12									
2	2	3	0.0		0	0	FiguredBass	3/4	2	1	0										3/4	#6_			
2	2	3	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	13									
2	2	7/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	14									
2	2	4	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	15									
2	2	9/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	16									
2	2	5	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	17									
2	2	11/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	18									
3	3	6	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	19	ornamentShortTrill								
3	3	13/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	20									
3	3	7	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	21									0
3	3	15/2	1.0		3/8	3/8	Chord	3/4	1	1	1/4			1/4	1	22	ornamentMordent								
3	3	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	23									
3	3	6	0.0		0	0	FiguredBass	3/4	2	1	0										1/2	6_			
3	3	6	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	24									
3	3	13/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	25									
3	3	7	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	26									
3	3	15/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	27									
3	3	8	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6	5_		
3	3	8	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	28									
3	3	17/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	29									
4	4	9	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	30	ornamentShortTrill								
4	4	11	0.0		1/2	1/2	StaffText	3/4	1	1	0							)							
4	4	11	0.0		1/2	1/2	Chord	3/4	1	1	0	appoggiatura		1/8	1	31									
4	4	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	32									
4	4	9	0.0		0	0	FiguredBass	3/4	2	1	0										3/4	#3_			
4	4	9	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	33									
4	4	19/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	34									
4	4	10	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	35									
4	4	21/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	36									
4	4	11	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	37									
4	4	23/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	38									
5	5	12	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	39									1
5	5	51/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	40									
5	5	13	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	41	ornamentShortTrill								2
5	5	29/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	42									2
5	5	59/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	43									
5	5	12	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	6			
5	5	12	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	44									
5	5	13	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	5/			
5	5	14	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	7	#3		
5	5	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	45									
6	6	15	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	46									
6	6	15	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	47	ornamentMordent								
6	6	16	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	48									
6	6	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	49									
6	6	15	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	3			
6	6	15	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	50									
6	6	16	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	#3_			
6	6	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	51									
7	7	18	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	52	ornamentShortTrill								
7	7	75/4	0.08333333333333333		3/16	3/16	Chord	3/4	1	1	1/48			1/32	2/3	53									3
7	7	113/6	0.08333333333333333		5/24	5/24	Chord	3/4	1	1	1/48			1/32	2/3	54									3
7	7	227/12	0.08333333333333333		11/48	11/48	Chord	3/4	1	1	1/48			1/32	2/3	55									3
7	7	19	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	56	ornamentShortTrill								3
7	7	41/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	57									3
7	7	83/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	58									
7	7	18	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	#6			
7	7	18	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	59									
7	7	19	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	_			
7	7	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	60									
7	7	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	61									
8	8		0.0	1	0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	62									
8	8		3.0	1	0	0	Chord	3/4	1	1	3/4			1/2	3/2	63	ornamentMordent								
8	8		0.0	1	0	0	FiguredBass	3/4	2	1	0										1/4	#3			
8	8		1.0	1	0	0	Chord	3/4	2	1	1/4			1/4	1	64									
8	8		0.5	1	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	65									4
8	8		0.5	1	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	66									4
8	8		0.5	1	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	67									4
8	8		0.5	1	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	68									
9	8	21	0.0	2	0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	69									
9	8	21	3.0	2	0	0	Chord	3/4	1	1	3/4			1/2	3/2	70	ornamentMordent								
9	8	21	0.0	2	0	0	FiguredBass	3/4	2	1	0										1/4	#3			
9	8	21	1.0	2	0	0	Chord	3/4	2	1	1/4			1/4	1	71									
9	8	22	0.5	2	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	72									5
9	8	45/2	0.5	2	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	73									5
9	8	23	0.5	2	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	74									5
9	8	47/2	0.5	2	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	75									
10	9	24	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	76									
10	9	25	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	77									
10	9	53/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	78									
10	9	24	0.0		0	0	StaffText	3/4	2	1	0							Reprise							
10	9	24	0.0		0	0	FiguredBass	3/4	2	1	0										3/4	5_			
10	9	24	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	79									
10	9	49/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	80									
10	9	25	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	81									
10	9	51/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	82									
10	9	26	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	83									
