mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	slur
5	5	37/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	87			
5	5	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	88			
5	5	19	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	89			
5	5	77/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	90			
5	5	39/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	91			
5	5	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	92			
5	5	16	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	93			
5	5	65/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	94			
5	5	33/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	95			
5	5	67/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	96			
5	5	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	97			
5	5	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	98			
5	5	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	99			
5	5	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	100			
5	5	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	101	ornamentShortTrill		
5	5	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	102			
6	6	20	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	103			
6	6	81/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	104			
6	6	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	105			
6	6	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	106			
6	6	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	107			
6	6	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	108			
6	6	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	109			
6	6	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	110			
6	6	22	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	111			
6	6	89/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	112			
6	6	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	113			
6	6	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	114			
6	6	23	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	115	ornamentShortTrill		
6	6	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	116			
6	6	81/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	117			
6	6	41/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	118			
6	6	83/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	119			
6	6	21	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	120			
6	6	85/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	121			
6	6	43/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	122			
6	6	87/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	123			
6	6	22	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	124			
6	6	89/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	125			
6	6	45/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	126			
6	6	91/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	127			
6	6	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	128			
6	6	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	129			
7	7	24	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	130			
7	7	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	131			
7	7	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	132			
7	7	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	133			
7	7	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	134	ornamentShortTrill		
7	7	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	135			
7	7	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	136			
7	7	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	137			
7	7	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	138			
7	7	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	139			
7	7	24	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	140			
7	7	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	141			
7	7	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	142	ornamentShortTrill		
7	7	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	143			
7	7	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	144			
7	7	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	145			
7	7	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	146	ornamentShortTrill		
7	7	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	147			
8	8	28	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	148	ornamentShortTrill		
8	8	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	149			
8	8	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	150			
8	8	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	151			
8	8	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	152			
8	8	61/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	153			
8	8	31	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	154	ornamentShortTrill		
8	8	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	155			
8	8	28	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	156			
8	8	113/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	157			
8	8	57/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	158			
8	8	115/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	159			
8	8	29	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	160			
8	8	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	161			
8	8	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	162			
8	8	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	163			
8	8	30	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	164			
8	8	121/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	165			
8	8	61/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	166			
8	8	123/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	167			
8	8	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	168	ornamentShortTrill		
8	8	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	169			
9	9	32	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	170	ornamentShortTrill		
9	9	65/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	171			
9	9	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	172			
9	9	33	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	173			
9	9	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	174			
9	9	34	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	175			1
9	9	137/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	176			
9	9	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	177			
9	9	35	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	178	ornamentShortTrill		
9	9	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	179			
9	9	32	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	180	ornamentShortTrill		
9	9	129/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	181			
9	9	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	182			
9	9	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	183			
9	9	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	184			
9	9	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	185			
9	9	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	186			
9	9	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	187	ornamentShortTrill		
9	9	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	188			
9	9	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	189			
9	9	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	190			
9	9	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	191			
10	10	36	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	192			
10	10	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	193			
10	10	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	194			
10	10	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	195			
10	10	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	196			
10	10	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	197			
10	10	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	198			
10	10	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	199			
10	10	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	200			
10	10	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	201			
10	10	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	202			
10	10	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	203			
10	10	36	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	204			
10	10	145/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	205			
10	10	73/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	206			
10	10	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	207			
10	10	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	208			
10	10	75/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	209			
10	10	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	210			
10	10	38	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	211			
10	10	153/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	212			
10	10	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	213			
10	10	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	214			
10	10	39	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	215			
10	10	157/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	216			
10	10	79/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	217			
10	10	159/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	218			
11	11	40	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	219	ornamentShortTrill		
11	11	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	220			
11	11	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	221			
11	11	41	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	222			
11	11	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	223			
11	11	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	224			
11	11	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	225			
11	11	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	226			
11	11	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	227			
11	11	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	228			
11	11	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	229			
11	11	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	230			
11	11	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	231			
11	11	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	232			
11	11	40	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	233			
11	11	83/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	234			
11	11	167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	235			
11	11	42	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	236			
11	11	169/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	237			
11	11	85/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	238			
11	11	171/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	239			
11	11	43	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	240			
11	11	173/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	241			
11	11	87/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	242			
11	11	175/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	243			
12	12	44	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	244	ornamentShortTrill		
12	12	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	245			
12	12	45	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	246			
12	12	181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	247			
12	12	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	248			
12	12	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	249			
12	12	46	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	250			2
12	12	185/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	251			2
12	12	93/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	252			2
12	12	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	253			2
12	12	47	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	254	ornamentShortTrill		
12	12	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	255			
12	12	44	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	256			
12	12	89/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	257			
12	12	179/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	258			
12	12	45	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	259			
12	12	181/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	260			
12	12	91/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	261			
12	12	183/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	262			
12	12	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	263			
12	12	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	264			
12	12	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	265			
12	12	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	266			
13	13	48	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	267	ornamentShortTrill		
13	13	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	268			
13	13	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	269			
13	13	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	270			
13	13	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	271			
13	13	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	272			
13	13	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	273			
13	13	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	274			
13	13	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	275			
13	13	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	276			
13	13	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	277			
13	13	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	278			
13	13	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	279			
13	13	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	280			
13	13	48	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	281			
13	13	99/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	282			
13	13	199/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	283			
13	13	50	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	284			
13	13	201/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	285			
13	13	101/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	286			
13	13	203/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	287			
13	13	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	288			
13	13	103/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	289			
13	13	207/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	290			
14	14	52	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	291			
14	14	105/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	292	ornamentShortTrill		
14	14	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	293			
14	14	107/2	0.0	3/8	3/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	294			
14	14	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	295			
14	14	54	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	296			
14	14	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	297			
14	14	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	298			
14	14	55	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura		1/8	1	299			
14	14	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	300			
14	14	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	301			
14	14	52	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	302			
14	14	209/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	303			
14	14	105/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	304			
14	14	211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	305			
14	14	53	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	306			
